UMAP1,UMAP2
-2.029967,6.549731
5.1091375,1.0570985
1.6964263,7.4226832
-3.1885347,1.7518173
7.649697,-2.1155248
7.3117113,-2.4180772
-2.76241,2.0067856
-2.3535428,2.4586856
2.523295,4.02252
5.325268,1.7468818
-3.9367301,3.3365424
5.8365917,0.8811928
2.1905537,3.8819628
5.53488,1.1086326
1.2271457,8.570725
1.3703687,7.361825
-3.890742,3.4010832
2.091662,4.3120694
9.559897,9.908037
-1.3735845,7.647285
1.1436594,8.188231
-0.42894807,6.89633
10.521091,11.102225
-2.586826,2.7686265
2.801269,9.105782
5.7139015,0.8944863
9.779778,10.284021
10.432251,9.452959
9.628735,9.547984
-1.3924466,3.0894651
-3.3134668,3.674461
0.3406667,4.8698735
7.7124796,-2.6448545
12.722505,7.4462714
7.31304,-0.24618031
4.8987675,1.9743836
10.331414,10.629281
1.1145612,6.0396204
9.674992,10.075557
9.575883,9.837124
11.814509,10.03461
7.7807918,-2.559739
11.6349745,9.876592
2.894497,9.112148
-0.044196367,6.4311295
4.919427,2.067482
7.4045353,-2.7860763
12.95823,7.5596657
9.85959,9.721952
-3.4677389,3.7882428
1.702647,4.0382953
6.089499,1.3020278
5.5159926,1.1973324
11.499227,9.922208
-1.1817732,3.6352015
-1.6069932,7.7898984
0.29254988,6.1646957
5.5931597,1.6967803
1.7005274,4.5039506
9.5414915,9.274704
-3.7525637,3.6183221
7.523158,-2.561363
2.295242,3.5561
1.6491007,7.346491
6.8694553,1.6390197
1.0533001,8.543701
-3.223364,1.7968751
10.740225,8.102868
9.904832,10.883618
10.850989,7.870813
-1.8189443,8.048667
12.7757435,7.84485
-1.9353219,6.667639
1.0662286,7.7678876
-1.2310733,3.4455967
1.708555,7.5461426
-1.5625815,7.397332
1.7774407,4.925775
7.486976,1.3057851
8.131513,-0.6899153
6.7948112,0.29564816
1.6258136,3.7682207
10.124841,10.879179
11.309383,10.925726
10.485441,9.899913
3.1474173,8.818369
10.181467,10.954843
12.663495,8.030818
-3.2668495,1.9962648
7.6720624,-2.1648893
1.8565726,8.114367
-0.024312954,5.3504276
0.86235136,5.370696
-2.9677,4.090633
12.626351,7.318134
9.980044,8.993224
-2.5869997,7.745249
7.6902156,0.39616987
1.768122,7.03148
2.096047,4.6250033
-0.4930569,6.9517407
0.5133774,4.873266
9.880944,10.91357
-3.4288595,1.9018124
9.360433,9.723139
7.711608,-2.03362
1.0674937,8.002842
11.82824,10.426212
-0.52647424,6.790445
11.747364,7.613656
12.206785,10.03471
10.624265,10.397078
0.5013575,3.5876057
0.70234746,4.345259
11.605043,8.959953
7.877333,-2.5507874
1.2306101,5.6084404
-2.8917954,3.2708397
11.597792,10.945867
4.562848,1.6763701
12.644733,7.8237615
9.709037,9.007494
1.4580348,7.642162
2.350179,3.6851678
0.4310312,4.8647275
-1.0482662,6.0861077
11.504717,7.794333
10.266614,11.029859
9.803275,9.001797
-2.6326115,1.7101877
5.976673,0.72355664
1.0527601,7.9802747
11.6771555,10.810449
-0.45890576,6.740956
10.201839,9.754957
-1.927285,6.6330824
11.45674,10.203132
0.36662325,4.853042
6.7901545,-2.7389803
